REVIEW_ID,EMP_ID,REVIEW_YEAR,RATING,MANAGER_ID
3001,1001,2023,3,101
3002,1001,2024,3,101
3003,1001,2025,4,101
3004,1001,2026,4,101
3005,1002,2023,5,101
3006,1002,2024,4,101
3007,1002,2025,2,101
3008,1002,2026,2,101
3009,1003,2023,4,107
3010,1003,2024,3,107
3011,1003,2025,4,107
3012,1003,2026,4,107
3013,1004,2023,2,101
3014,1004,2025,5,101
3015,1004,2026,4,101
3016,1005,2023,4,104
3017,1005,2024,4,104
3018,1005,2025,2,104
3019,1005,2026,5,104
3020,1006,2023,2,101
3021,1006,2024,3,101
3022,1006,2025,3,101
3023,1006,2026,5,101
3024,1007,2023,3,106
3025,1007,2024,4,106
3026,1007,2025,4,106
3027,1007,2026,4,106
3028,1008,2023,1,102
3029,1008,2024,2,102
3030,1008,2025,4,102
3031,1008,2026,4,102
3032,1009,2023,4,107
3033,1009,2024,4,107
3034,1009,2025,3,107
3035,1010,2023,4,106
3036,1010,2024,3,106
3037,1010,2025,4,106
3038,1010,2026,5,106
3039,1011,2023,5,102
3040,1011,2024,3,102
3041,1011,2025,3,102
3042,1011,2026,1,102
3043,1012,2023,4,105
3044,1012,2024,4,105
3045,1012,2025,2,105
3046,1012,2026,4,105
3047,1013,2024,3,107
3048,1013,2026,5,107
3049,1014,2023,3,107
3050,1014,2024,3,107
3051,1014,2025,4,107
3052,1014,2026,4,107
3053,1015,2023,3,105
3054,1015,2024,1,105
3055,1015,2025,4,105
3056,1015,2026,4,105
3057,1016,2023,3,105
3058,1016,2024,3,105
3059,1016,2025,3,105
3060,1016,2026,3,105
3061,1017,2023,3,103
3062,1017,2024,4,103
3063,1017,2025,3,103
3064,1017,2026,3,103
3065,1018,2023,5,104
3066,1018,2024,5,104
3067,1018,2026,5,104
3068,1019,2023,2,105
3069,1019,2024,5,105
3070,1019,2026,2,105
3071,1020,2023,3,103
3072,1020,2024,5,103
3073,1020,2025,4,103
3074,1020,2026,3,103
3075,1021,2023,4,101
3076,1021,2024,3,101
3077,1021,2026,4,101
3078,1022,2023,5,106
3079,1022,2024,4,106
3080,1022,2025,4,106
3081,1022,2026,5,106
3082,1023,2023,3,103
3083,1023,2024,4,103
3084,1023,2025,5,103
3085,1023,2026,5,103
3086,1024,2023,3,101
3087,1024,2024,4,101
3088,1024,2025,5,101
3089,1024,2026,3,101
3090,1025,2024,4,104
3091,1025,2025,4,104
3092,1025,2026,5,104
3093,1026,2023,4,102
3094,1026,2024,5,102
3095,1026,2025,4,102
3096,1026,2026,3,102
3097,1027,2023,2,105
3098,1027,2024,3,105
3099,1027,2025,4,105
3100,1027,2026,5,105
3101,1028,2023,5,106
3102,1028,2024,5,106
3103,1028,2025,2,106
3104,1028,2026,3,106
3105,1029,2023,3,106
3106,1029,2024,3,106
3107,1029,2025,3,106
3108,1029,2026,3,106
3109,1030,2023,4,102
3110,1030,2024,4,102
3111,1030,2025,3,102
3112,1030,2026,4,102
3113,1031,2023,3,105
3114,1031,2024,4,105
3115,1031,2025,2,105
3116,1031,2026,3,105
3117,1032,2023,3,107
3118,1032,2024,4,107
3119,1032,2025,4,107
3120,1032,2026,4,107
3121,1033,2023,4,101
3122,1033,2024,3,101
3123,1033,2025,2,101
3124,1033,2026,5,101
3125,1034,2023,5,105
3126,1034,2024,3,105
3127,1034,2025,2,105
3128,1034,2026,2,105
3129,1035,2023,4,103
3130,1035,2024,3,103
3131,1035,2025,3,103
3132,1035,2026,4,103
3133,1036,2023,3,101
3134,1036,2024,4,101
3135,1036,2025,4,101
3136,1036,2026,4,101
3137,1037,2023,1,104
3138,1037,2024,3,104
3139,1037,2025,3,104
3140,1037,2026,3,104
3141,1038,2023,1,107
3142,1038,2024,3,107
3143,1038,2025,4,107
3144,1038,2026,3,107
3145,1039,2023,3,101
3146,1039,2024,4,101
3147,1039,2025,4,101
3148,1039,2026,3,101
3149,1040,2023,4,104
